"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000200344.1",0.0326402806260536,-0.0778504450997736,2.93468496832229,-0.0265277009083123,0.97883643924044,NA
"ENSG00000284747.1",0.0275761131386446,-0.0778504450997744,2.93468496832229,-0.0265277009083126,0.97883643924044,NA
"ENSG00000284716.1",0.0457657905746569,0.0216412242382395,2.40057913794834,0.00901500137868198,0.992807167011687,NA
"ENSG00000116285.13",0.572327336631524,-0.0765566591134643,0.598147531044168,-0.12798959310226,0.898157208805458,0.971526751876235
"ENSG00000238290.1",0,NA,NA,NA,NA,NA
"ENSG00000232848.1",0,NA,NA,NA,NA,NA
"ENSG00000229305.1",0,NA,NA,NA,NA,NA
"ENSG00000227634.3",0,NA,NA,NA,NA,NA
"ENSG00000200975.1",0,NA,NA,NA,NA,NA
"ENSG00000233645.1",0,NA,NA,NA,NA,NA
"ENSG00000251977.1",0,NA,NA,NA,NA,NA
"ENSG00000162426.14",0.0352024474180088,0.121139832064159,2.93468496832229,0.0412786494536115,0.967073753828364,NA
"ENSG00000252254.1",0,NA,NA,NA,NA,NA
"ENSG00000142599.19",0.442537092034836,-0.35563220872713,0.639849023418684,-0.555806441380504,0.578343181604194,0.8591725743566
"ENSG00000232912.6",0.0146386541716137,0.0216449077087264,2.93468496832229,0.00737554727078608,0.994115218059295,NA
"ENSG00000221083.1",0,NA,NA,NA,NA,NA
"ENSG00000270282.1",0.0174453243096893,0.0216449077087265,2.93468496832229,0.00737554727078611,0.994115218059295,NA
"ENSG00000234619.1",0,NA,NA,NA,NA,NA
"ENSG00000224315.2",0,NA,NA,NA,NA,NA
"ENSG00000222511.2",0,NA,NA,NA,NA,NA
"ENSG00000226545.1",0.0137547748600234,-0.177345369455206,2.93468496832229,-0.0604308030911378,0.951812526161153,NA
"ENSG00000228423.2",0,NA,NA,NA,NA,NA
"ENSG00000229716.2",0,NA,NA,NA,NA,NA
"ENSG00000074800.16",0.0274576192638476,-0.276840722263707,2.93468496832229,-0.0943340512702364,0.924843801508881,NA
"ENSG00000274258.1",0,NA,NA,NA,NA,NA
"ENSG00000230679.1",0,NA,NA,NA,NA,NA
"ENSG00000201725.1",0,NA,NA,NA,NA,NA
"ENSG00000238249.2",0,NA,NA,NA,NA,NA
"ENSG00000232208.2",0,NA,NA,NA,NA,NA
"ENSG00000232663.2",0,NA,NA,NA,NA,NA
"ENSG00000131686.15",0,NA,NA,NA,NA,NA
"ENSG00000265141.2",0,NA,NA,NA,NA,NA
"ENSG00000197241.3",0,NA,NA,NA,NA,NA
"ENSG00000142583.18",0.147332830006917,-0.376347178228043,1.42320348943653,-0.264436660689362,0.791443465431664,NA
"ENSG00000252404.1",0,NA,NA,NA,NA,NA
"ENSG00000180758.12",0.205006936587051,0.320123773279406,0.959976805686062,0.333470320723661,0.738779289237385,NA
"ENSG00000228526.7",0,NA,NA,NA,NA,NA
"ENSG00000284357.1",0,NA,NA,NA,NA,NA
"ENSG00000234546.4",0,NA,NA,NA,NA,NA
"ENSG00000049239.12",0.184251772504239,0.0216353832973285,0.886725889896109,0.0243991785329099,0.980534203567519,NA
"ENSG00000171621.14",0.015493297690553,-0.177345369455206,2.93468496832229,-0.0604308030911378,0.951812526161153,NA
